#                                                                     
#   __   __     _        __  __       ____      U  ___  u             
#   \ \ / / U  /"\  U u |" \/ "| u U | __") u    \/"_ \/              
#    \ V /   \/ _ \/   \| |\/| |/   \|  _ \/     | | | |              
#   U_|"|_u  / ___ \    | |  | |     | |_) | .-,_| |_| |              
#     |_|   /_/   \_\   |_|  |_|     |____/   \_)-\___/               
# .-,//|(_   \\    >>  <<,-,,-.     _|| \\_        \\                 
#  \_) (__) (__)  (__)  (./  \.)   (__) (__)      (__)                
#                                                                     
#                                                                     
# Version 5.3.0 Revision 23935 Hash (prev commit) 901c81cc91          
#                      Branch is 5.3                                  
#         MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                      
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : Fan + DW
# [ph] dS/dw steps                                :  2
# [ph] dS/dw step                                 :  0.100000001    [ev]
# [ph] Sc/G damping                               :  0.100000001    [ev]
# El-Ph correlation                               : yes
# El-Ph Sc. G bands                               :   1  20
# El-Ph phonon branches                           :   1   9
# El-Ph momenta used                              :   7
# Energy treshold                                 :  0.999999997E-6 [FAN]
# Energy treshold                                 :  0.999999997E-6 [DW]
#                                                 
# QP @ state[ 1 ] K range                         :   1   7
# QP @ state[ 1 ] b range                         :   1  20
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#                                                 
# [ELPH] Phonon modes                             :   9
# [ELPH] Q points                                 :   7 [avail]
# [ELPH] K points                                 :   36
# [ELPH] El-PH bands                              :  200
# [ELPH] Using the Q-grid                         : yes
# [ELPH] Bare interaction                         : no
# [ELPH] PH double-grid                           : yes
#
#
#    Eo [eV]            DeltaE [eV]        Width [meV]
#
    -60.7183609       -0.707807997E-2      1.89324999   
    -60.7072067       -0.645526079E-2      1.98634088   
    -60.6904221       -0.567024946E-2      2.07608891   
    -60.6848106       -0.524854893E-2      2.08900070   
    -60.6735802       -0.411968911E-2      2.10316753   
    -60.6735764       -0.411968911E-2      2.10316753   
    -60.6679649       -0.367203797E-2      2.11386180   
    -35.0883560        0.438892888E-2      3.49376917   
    -35.0350609        0.427214988E-2      4.39327002   
    -34.9839706       -0.874866266E-2      4.96352148   
    -34.9832115        0.287729478E-2      7.40428829   
    -34.9335480       -0.126283066E-1      2.94264388   
    -34.9237022       -0.242088512E-1      3.95015860   
    -34.9109573       -0.105814375E-1      5.76540232   
    -34.9018822       -0.179417320E-1      3.76749325   
    -34.8690071        0.300056092E-2      3.57653642   
    -34.8579826       -0.112107443E-1      3.64532542   
    -34.8359604       -0.740895281E-2      3.48751330   
    -34.8359032       -0.740895281E-2      3.48751330   
    -34.8249550        0.752248755E-2      3.18262434   
    -34.8149071       -0.194306597E-1      5.36654043   
    -34.7700920       -0.119081726E-1      4.54192686   
    -34.7591362       -0.300056092E-2      3.89924145   
    -34.7432060       -0.123428479E-1      4.32056427   
    -34.7346573       -0.104970979E-1      3.74186969   
    -34.6853065       -0.712025026E-2      2.84525800   
    -34.6604385       -0.642606616E-2      2.45951366   
    -34.6604385       -0.642606616E-2      2.45951366   
    -14.2163563       -0.246840753E-1      5.92717743   
    -13.7964725       -0.201864764E-1      7.21334076   
    -13.0869055       -0.198442508E-1      11.5764294   
    -12.8527174       -0.175030027E-1      10.0213995   
    -12.8151455       -0.268971901E-1      21.7782822   
    -12.6819611       -0.175719336E-1      13.7911386   
    -12.3923473       -0.118197771E-1      30.3488235   
    -12.2907257       -0.849483162E-2      38.4682007   
    -12.2257214        0.528017618E-2      45.8625183   
    -12.2022848        0.148543986E-1      42.3340569   
    -12.0604687        0.236711819E-1      31.6910515   
    -12.0407248        0.236898344E-1      31.0498447   
    -11.9101210        0.280106422E-1      13.5518856   
    -11.8830690        0.219195038E-1      9.96095276   
