#                                                                     
# :   :::   :::     ::::    ::::  :::::::::   ::::::::                
# :+:   :+: :+: :+:   +:+:+: :+:+:+ :+:    :+: :+:    :+              
#  +:+ +:+ +:+   +:+  +:+ +:+:+ +:+ +:+    +:+ +:+    +:+             
#   +#++: +#++:++#++: +#+  +:+  +#+ +#++:++#+  +#+    +:+             
#    +#+  +#+     +#+ +#+       +#+ +#+    +#+ +#+    +#+             
#    #+#  #+#     #+# #+#       #+# #+#    #+# #+#    #+#             
#    ###  ###     ### ###       ### #########   ########              
#                                                                     
#                                                                     
# Version 5.3.0 Revision 23935 Hash (prev commit) 901c81cc91          
#                      Branch is 5.3                                  
#         MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                      
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : Fan + DW
# [ph] dS/dw steps                                :  2
# [ph] dS/dw step                                 :  0.100000001    [ev]
# [ph] Sc/G damping                               :  0.100000001    [ev]
# El-Ph correlation                               : yes
# El-Ph Sc. G bands                               :   1  20
# El-Ph phonon branches                           :   1   9
# El-Ph momenta used                              :   7
# Energy treshold                                 :  0.999999997E-6 [FAN]
# Energy treshold                                 :  0.999999997E-6 [DW]
#                                                 
# QP @ state[ 1 ] K range                         :   1   7
# QP @ state[ 1 ] b range                         :   1  20
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#                                                 
# [ELPH] Phonon modes                             :   9
# [ELPH] Q points                                 :   7 [avail]
# [ELPH] K points                                 :   36
# [ELPH] El-PH bands                              :  200
# [ELPH] Using the Q-grid                         : yes
# [ELPH] Bare interaction                         : no
# [ELPH] PH double-grid                           : yes
#
#
#    Eo [eV]            DeltaE [eV]        Width [meV]
#
    -60.7196694        0.958687335E-1     -183.016149   
    -60.7086663        0.183530527         300.004017   
    -60.6921226       -0.981588914E-2      5.78754419   
    -60.6865886       -0.990022923E-2      5.76731210   
    -60.6755206       -0.890761123E-2      5.64276126   
    -60.6755141       -0.890761123E-2      5.64276126   
    -60.6699801       -0.526801188E-2      5.47430164   
    -35.0872363       -0.488199377E-2      3.97850244   
    -35.0344978       -0.108214825E-1      5.40161992   
    -34.9839197       -0.138155558E-1      6.67995131   
    -34.9832904        0.138512381E-2      9.49687442   
    -34.9339385       -0.233362546E-1      6.23335256   
    -34.9225720        0.308441447        -520.937778   
    -34.9116727       -0.406227296E-1      8.20644631   
    -34.9010004       -0.225609745E-1      56.4054965   
    -34.8684971        0.779821464E-2      7.55497264   
    -34.8575977       -0.230637712E-2      7.60120700   
    -34.8358250       -0.619899674E-2      6.79645905   
    -34.8357731       -0.619899674E-2      6.79645905   
    -34.8249451        0.139453098E-1      5.43133172   
    -34.8166409       -0.752475811E-1      11.0517594   
    -34.7722910        0.701417617E-1      74.4823747   
    -34.7614890       -0.206081770E-1      8.32298969   
    -34.7457044       -0.196577291E-2      7.53917946   
    -34.7372574       -0.521870537E-1      8.09030366   
    -34.6884180        0.101500057E-1      15.7817659   
    -34.6638037        0.211881774        -14.8148611   
    -34.6638037        0.211881774        -14.8148611   
    -14.2050189       -0.260043210E-1      5.89554276   
    -13.7870197       -0.257740077E-1      7.81590138   
    -13.0810623       -0.253060823E-1      11.7253089   
    -12.8395706       -0.235957626E-1      16.5101416   
    -12.8109047       -0.398555591E-1      21.4469529   
    -12.6701655       -0.194639091E-1      15.7959023   
    -12.3829793       -0.112837311E-1      32.3714879   
    -12.2822854       -0.117832840E-2      44.2516755   
    -12.2254726       -0.710321984E-2      48.3261440   
    -12.2023310       -0.122779710E-2      49.8117923   
    -12.0542314        0.367333538E-1      46.2966503   
