#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.0.0                                  
#                  Branch is bug-fixes                                
#             MPI+OpenMP+HDF5_MPI_IO Build                            
#               http://www.lumen-code.org                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : Fan + DW
# [ph] dS/dw steps                                :  2
# [ph] dS/dw step                                 :  0.100000001    [ev]
# [ph] Sc/G damping                               :  0.100000001    [ev]
# El-Ph correlation                               : yes
# El-Ph Sc. G bands                               :   1  20
# El-Ph phonon branches                           :   1   9
# El-Ph momenta used                              :   7
# Energy treshold                                 :  0.999999997E-6 [FAN]
# Energy treshold                                 :  0.999999997E-6 [DW]
#                                                 
# QP @ state[ 1 ] K range                         :   1   7
# QP @ state[ 1 ] b range                         :   9  18
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#                                                 
# [ELPH] Phonon modes                             :   9
# [ELPH] Q points                                 :   7 [avail]
# [ELPH] K points                                 :   36
# [ELPH] El-PH bands                              :  200
# [ELPH] Using the Q-grid                         : yes
# [ELPH] Bare interaction                         : no
# [ELPH] PH double-grid                           : no
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#
#
#    Eo [eV]            DeltaE [eV]        Width [meV]
#
    -4.20069370       -0.655744213E-2      26.2505558   
    -4.20069370       -0.655744213E-2      26.2505558   
    -4.16389385       -0.892180307E-2      22.0396714   
    -4.16389385       -0.892180307E-2      22.0396714   
    -4.16389385       -0.892180307E-2      22.0396714   
    -3.94774966       -0.705496758E-2      34.9704641   
    -3.94774966       -0.705496758E-2      34.9704641   
    -3.94774966       -0.705496758E-2      34.9704641   
    -3.94774966       -0.705496758E-2      34.9704641   
    -3.94774966       -0.705496758E-2      34.9704641   
    -3.94774966       -0.705496758E-2      34.9704641   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.88748217        0.958719774E-2      32.3656369   
    -3.76302053       -0.298677460E-2      28.5385500   
    -3.76302053       -0.298677460E-2      28.5385500   
    -3.76302053       -0.298677460E-2      28.5385500   
    -3.76302053       -0.298677460E-2      28.5385500   
    -3.76302053       -0.298677460E-2      28.5385500   
    -3.76302053       -0.298677460E-2      28.5385500   
    -3.56827196        0.202858195E-1      9.08012052   
    -3.56827196        0.202858195E-1      9.08012052   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.28152537        0.163210242E-1      66.7712562   
    -3.26271348        0.178612446E-1      65.2601037   
    -3.26271348        0.178612446E-1      65.2601037   
    -3.26271348        0.178612446E-1      65.2601037   
    -3.26271348        0.178612446E-1      65.2601037   
    -3.26271348        0.178612446E-1      65.2601037   
    -3.26271348        0.178612446E-1      65.2601037   
    -3.20115819        0.316893703E-1      48.5468683   
    -3.20115819        0.316893703E-1      48.5468683   
    -3.20115819        0.316893703E-1      48.5468683   
    -2.99392080        0.130617662E-1      50.7943461   
    -2.99392080        0.130617662E-1      50.7943461   
    -2.99392080        0.130617662E-1      50.7943461   
    -2.99392080        0.130617662E-1      50.7943461   
    -2.99392080        0.130617662E-1      50.7943461   
    -2.99392080        0.130617662E-1      50.7943461   
    -2.94875343        0.359588847E-1      40.8247669   
    -2.94875343        0.359588847E-1      40.8247669   
    -2.87051016        0.312157682E-1      32.1792264   
    -2.87051016        0.312157682E-1      32.1792264   
    -2.87051016        0.312157682E-1      32.1792264   
    -2.87051016        0.312157682E-1      32.1792264   
    -2.87051016        0.312157682E-1      32.1792264   
    -2.87051016        0.312157682E-1      32.1792264   
    -2.61840384       -0.118850598E-1      27.3352339   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.38400650        0.447894545E-2      43.0702934   
    -2.18352118        0.231138482E-1      54.7367576   
    -2.18352118        0.231138482E-1      54.7367576   
    -2.18352118        0.231138482E-1      54.7367576   
    -2.18352118        0.231138482E-1      54.7367576   
    -2.18352118        0.231138482E-1      54.7367576   
    -2.18352118        0.231138482E-1      54.7367576   
    -2.18113290       -0.157902493E-1      23.9359582   
    -2.18113290       -0.157902493E-1      23.9359582   
    -2.03858760        0.212605963E-1      68.9680266   
    -2.03858760        0.212605963E-1      68.9680266   
    -2.03858760        0.212605963E-1      68.9680266   
    -2.03858760        0.212605963E-1      68.9680266   
    -2.03858760        0.212605963E-1      68.9680266   
    -2.03858760        0.212605963E-1      68.9680266   
    -1.95800956        0.232849612E-1      39.2217350   
    -1.95800956        0.232849612E-1      39.2217350   
    -1.95800956        0.232849612E-1      39.2217350   
    -1.95800956        0.232849612E-1      39.2217350   
    -1.95800956        0.232849612E-1      39.2217350   
    -1.95800956        0.232849612E-1      39.2217350   
    -1.91522319       -0.796912497E-2      34.6929629   
    -1.91522319       -0.796912497E-2      34.6929629   
    -1.91522319       -0.796912497E-2      34.6929629   
    -1.84639437       -0.347977893E-1      39.8933132   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.72378983        0.244923829E-1      38.5815562   
    -1.64961272        0.214325203E-1      27.1160459   
    -1.64961272        0.214325203E-1      27.1160459   
    -1.64961272        0.214325203E-1      27.1160459   
    -1.64961272        0.214325203E-1      27.1160459   
    -1.64961272        0.214325203E-1      27.1160459   
    -1.64961272        0.214325203E-1      27.1160459   
    -1.46028381        0.175913968E-1      35.7659327   
    -1.46027976        0.175913968E-1      35.7659327   
    -1.28865497        0.776972958E-2      29.7396392   
    -1.28865497        0.776972958E-2      29.7396392   
    -1.28865497        0.776972958E-2      29.7396392   
    -1.28865497        0.776972958E-2      29.7396392   
    -1.28865497        0.776972958E-2      29.7396392   
    -1.28865497        0.776972958E-2      29.7396392   
    -1.06468256       -0.561632024E-2      58.1686682   
    -1.06468256       -0.561632024E-2      58.1686682   
    -1.06468256       -0.561632024E-2      58.1686682   
    -1.06468256       -0.561632024E-2      58.1686682   
    -1.06468256       -0.561632024E-2      58.1686682   
    -1.06468256       -0.561632024E-2      58.1686682   
    -1.02715284        0.253553483E-1      51.1258365   
    -1.02715284        0.253553483E-1      51.1258365   
    -1.02715284        0.253553483E-1      51.1258365   
    -1.02715284        0.253553483E-1      51.1258365   
    -1.02715284        0.253553483E-1      51.1258365   
    -1.02715284        0.253553483E-1      51.1258365   
    -1.01224897        0.225150538E-1      41.8463388   
    -1.01224897        0.225150538E-1      41.8463388   
    -1.01224897        0.225150538E-1      41.8463388   
    -1.01224897        0.225150538E-1      41.8463388   
    -1.01224897        0.225150538E-1      41.8463388   
    -1.01224897        0.225150538E-1      41.8463388   
   -0.881064445        0.202577399E-1      48.5175501   
   -0.881064445        0.202577399E-1      48.5175501   
   -0.881064445        0.202577399E-1      48.5175501   
   -0.805882147        0.239194380E-1      34.6566755   
   -0.805882147        0.239194380E-1      34.6566755   
   -0.805882147        0.239194380E-1      34.6566755   
   -0.805882147        0.239194380E-1      34.6566755   
   -0.805882147        0.239194380E-1      34.6566755   
   -0.805882147        0.239194380E-1      34.6566755   
   -0.654683069        0.162160552E-1      24.8865233   
   -0.654683069        0.162160552E-1      24.8865233   
   -0.654683069        0.162160552E-1      24.8865233   
   -0.486739239        0.342026949E-1      42.1796507   
   -0.486739239        0.342026949E-1      42.1796507   
   -0.486739239        0.342026949E-1      42.1796507   
   -0.486739239        0.342026949E-1      42.1796507   
   -0.486739239        0.342026949E-1      42.1796507   
   -0.486739239        0.342026949E-1      42.1796507   
   -0.486739239        0.342026949E-1      42.1796507   
   -0.486739239        0.342026949E-1      42.1796507   
   -0.486739239        0.342026949E-1      42.1796507   
   -0.486739239        0.342026949E-1      42.1796507   
   -0.486739239        0.342026949E-1      42.1796507   
