#                                                                     
#   __   __     _        __  __       ____      U  ___  u             
#   \ \ / / U  /"\  U u |" \/ "| u U | __") u    \/"_ \/              
#    \ V /   \/ _ \/   \| |\/| |/   \|  _ \/     | | | |              
#   U_|"|_u  / ___ \    | |  | |     | |_) | .-,_| |_| |              
#     |_|   /_/   \_\   |_|  |_|     |____/   \_)-\___/               
# .-,//|(_   \\    >>  <<,-,,-.     _|| \\_        \\                 
#  \_) (__) (__)  (__)  (./  \.)   (__) (__)      (__)                
#                                                                     
#                                                                     
# Version 5.3.0 Revision 23935 Hash (prev commit) 901c81cc91          
#                      Branch is 5.3                                  
#         MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                      
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : PPA
# PPA imaginary Energy                            :   27.2113800    [ev]
# dS/dw steps                                     :  2
# dS/dw step                                      :  0.100000001    [ev]
# X G`s                                           :   773 [used]
# X G`s                                           :   773 [disk]
# X bands                                         :    1  120
# X poles                                         :   100.000000    [o/o]
# X e/h E range                                   :  -1.00000000     -1.00000000    [ev]
# X Hxc Kernel                                    : HARTREE
# X BZ energy Double Grid                         : no
# X Optical Averaged directions                   : none
# Sc/G bands                                      :    1  160
# Sc/G damping                                    :  0.100000001    [ev]
# Sc bands terminator                             : no
# Sx RL components                                :  27811
#                                                 
# QP @ state[ 1 ] K range                         :    1   32
# QP @ state[ 1 ] b range                         :   28   38
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#
#
#    Eo [eV]            DeltaE [eV]
#
    -1.14537334        0.580340147   
    -1.14261854        0.446669996   
    -1.14011788        0.631743371   
    -1.13878310        0.657173574   
    -1.13489079        0.541180372   
    -1.13458753        0.499741822   
    -1.12863910        0.462740034   
    -1.12737441        0.458309323   
    -1.12713718        0.467430651   
    -1.12196290        0.491517425   
    -1.11893475        0.490223140   
    -1.11176419        0.466612786   
    -1.11101413        0.663023829   
    -1.10395503        0.513430059   
    -1.09581220        0.545668244   
    -1.09541523        0.508646607   
    -1.08697355        0.484094292   
    -1.07011807        0.453642249   
    -1.03550172        0.598527551   
    -1.01811552        0.525353611   
    -1.01311231        0.427446544   
    -1.01071227        0.426288903   
    -1.00654590        0.527100027   
    -1.00327289        0.541807652   
   -0.994604468        0.545485377   
   -0.993337333        0.536460578   
   -0.986024916        0.490322471   
   -0.981005013        0.563365877   
   -0.978476882        0.416835099   
   -0.978181243        0.328916639   
   -0.977788746        0.566128016   
   -0.972365856        0.328906089   
   -0.965173423        0.326107472   
   -0.963064909        0.329031795   
   -0.962320030       -0.290344417   
   -0.961740613       -0.289742291   
   -0.961506665        0.329380900   
   -0.961491644        0.511712432   
   -0.960256577        0.514152586   
   -0.960220098       -0.288486093   
   -0.959232748        0.329457134   
   -0.959190547       -0.287712038   
   -0.954557955        0.421106845   
   -0.951122284        0.442144424   
   -0.946567535        0.391827047   
   -0.946396410        0.499165207   
   -0.946336806        0.512713552   
   -0.945175886        0.511974394   
   -0.944477260        0.508612514   
   -0.943976879        0.351901323   
   -0.943519533        0.380959749   
   -0.942336738        0.522350609   
   -0.940662503        0.341187716   
   -0.938194752        0.392076403   
   -0.933009028        0.508489668   
   -0.932464063        0.406459242   
   -0.898413360        0.274118274   
   -0.895433903        0.452388912   
   -0.886419654        0.444863588   
   -0.883319736        0.275425553   
   -0.882696509        0.332416326   
   -0.880494773        0.437217832   
   -0.878637671        0.279677033   
   -0.862452090        0.437960267   
   -0.860846341        0.424809694   
   -0.856493890        0.302132964   
   -0.855972052        0.361121178   
   -0.842218161        0.428380758   
   -0.836976886        0.391604424   
   -0.835842371        0.414443582   
   -0.833716035        0.372810364   
   -0.828314602        0.417036623   
   -0.805872858        0.275706142   
   -0.805201352        0.231849298   
   -0.802134693        0.267720193   
   -0.792120516        0.268159330   
   -0.790176272        0.292109072   
   -0.789308131        0.268968672   
   -0.764302909       -0.421781559E-2
   -0.761728525        0.294693619   
   -0.761393964       -0.639362773E-2
   -0.759621620        0.320683330   
   -0.759247780       -0.326128537E-2
   -0.758926630       -0.129389053E-2
   -0.752050042       -0.339306681E-2
   -0.744544625        0.155704783E-2
   -0.742341220        0.326998711   
   -0.737639666        0.322065204   
   -0.711485744       -0.361066431   
   -0.711485744       -0.361008048   
   -0.710875094       -0.360801250   
   -0.710875094       -0.360943973   
   -0.709055662       -0.360260725   
   -0.709055662       -0.360121250   
   -0.708013177       -0.359833777   
   -0.708013177       -0.359969199   
   -0.186930090        0.327784538   
   -0.182822555        0.326380759   
   -0.181797102        0.324969262   
   -0.177846089        0.316900194   
   -0.167017713        0.311223060   
   -0.165664628        0.313243568   
   -0.165078700        0.313843280   
   -0.165072218        0.316199929   
   -0.163347304        0.307727814   
   -0.159580380        0.312307298   
   -0.154836252        0.289839596   
   -0.154467657        0.308037996   
   -0.153320149        0.287938297   
   -0.146907061        0.301677614   
   -0.146755815        0.308675826   
   -0.141190186        0.295733660   
   -0.137122393        0.280529737   
   -0.135805801        0.307214051   
   -0.135322869        0.293990910   
   -0.134107634        0.276372343   
   -0.131975621        0.357387483   
   -0.127523437        0.362308413   
