#                                                                     
#  __  __   ________   ___ __ __    _______   ______                  
# /_/\/_/\ /_______/\ /__//_//_/\ /_______/\ /_____/\                 
# \ \ \ \ \\::: _  \ \\::\| \| \ \\::: _  \ \\:::_ \ \                
#  \:\_\ \ \\::(_)  \ \\:.      \ \\::(_)  \/_\:\ \ \ \               
#   \::::_\/ \:: __  \ \\:.\-/\  \ \\::  _  \ \\:\ \ \ \              
#     \::\ \  \:.\ \  \ \\. \  \  \ \\::(_)  \ \\:\_\ \ \             
#      \__\/   \__\/\__\/ \__\/ \__\/ \_______\/ \_____\/             
#                                                                     
#                                                                     
# Version 5.3.0 Revision 23935 Hash (prev commit) 901c81cc91          
#                      Branch is 5.3                                  
#         MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                      
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : PPA
# PPA imaginary Energy                            :   27.2113800    [ev]
# dS/dw steps                                     :  2
# dS/dw step                                      :  0.100000001    [ev]
# X G`s                                           :   773 [used]
# X G`s                                           :   773 [disk]
# X bands                                         :    1  120
# X poles                                         :   100.000000    [o/o]
# X e/h E range                                   :  -1.00000000     -1.00000000    [ev]
# X Hxc Kernel                                    : HARTREE
# X BZ energy Double Grid                         : no
# X Optical Averaged directions                   : none
# Sc/G bands                                      :    1  120
# Sc/G damping                                    :  0.100000001    [ev]
# Sc bands terminator                             : no
# Sx RL components                                :  27811
#                                                 
# QP @ state[ 1 ] K range                         :    1   32
# QP @ state[ 1 ] b range                         :   30   36
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#
#
#    Eo [eV]            DeltaE [eV]
#
    -1.13260317        0.242176086   
    -1.12328601        0.267079949   
    -1.10699248        0.261496067   
    -1.08516347        0.252047122   
    -1.02710259        0.195274070   
   -0.999285340        0.179264456   
   -0.978405893        0.898895115E-1
   -0.978294015        0.107516587   
   -0.973554730        0.693137720E-1
   -0.970153570        0.971622169E-1
   -0.969370961        0.838162079E-1
   -0.964733899        0.131731123   
   -0.962241769        0.145539373   
   -0.955559850        0.904624537E-1
   -0.944523513        0.100822501   
   -0.930435836        0.107424140   
   -0.905326426        0.127975136   
   -0.900490224        0.135395855   
   -0.893556535       -0.108327553   
   -0.885698676       -0.853201374E-1
   -0.877075732       -0.393699974   
   -0.870818734       -0.461932309E-1
   -0.865127444       -0.391916245   
   -0.862410724       -0.394531608   
   -0.860566556       -0.344943672   
   -0.856895328       -0.319519197E-2
   -0.853007197       -0.329426318   
   -0.849312425       -0.298768699   
   -0.842930555       -0.392185479   
   -0.838209152       -0.303064764   
   -0.836882830       -0.289813250   
   -0.832346320       -0.277003288   
   -0.781064689       -0.273759007   
   -0.766889036       -0.118798696   
   -0.766094327       -0.160882786   
   -0.765268743       -0.241404861   
   -0.762892246       -0.162230194   
   -0.762427926       -0.258695394   
   -0.761146605       -0.159678504   
   -0.761041224       -0.159162730   
   -0.753662288       -0.158622637   
   -0.746930838       -0.156358019   
   -0.740125299       -0.235885859   
   -0.737225652       -0.292025149   
   -0.737164438       -0.288269967   
   -0.734103441       -0.353605568   
   -0.732479095       -0.232717022   
   -0.732023776       -0.136135861   
   -0.718533814       -0.266435206   
   -0.708031833       -0.207286865   
   -0.705073833       -0.291527599   
   -0.703114569       -0.474253654   
   -0.702362776       -0.474239081   
   -0.701651990       -0.295423061   
   -0.700244963       -0.474248409   
   -0.699061811       -0.474335968   
   -0.692551792       -0.285614878   
   -0.678913832       -0.295533776   
   -0.583003342       -0.373229235   
   -0.577911675       -0.323930442   
   -0.577111304       -0.331228286   
   -0.575767100       -0.358216703   
   -0.574367821       -0.296583146   
   -0.555672705       -0.318058252   
   -0.551797926       -0.360454559   
   -0.548932791       -0.363339961   
   -0.546452820       -0.369909555   
   -0.544399500       -0.382124275   
   -0.541692913       -0.344465226   
   -0.535461485       -0.385545313   
   -0.534888089       -0.377288908   
   -0.533525288       -0.358911306   
   -0.287613094       -0.374832094   
   -0.277326047       -0.380617499   
   -0.277212918       -0.380034834   
   -0.274976671       -0.379255086   
   -0.265813202       -0.392320096   
