#                                                                     
#  __  __   ________   ___ __ __    _______   ______                  
# /_/\/_/\ /_______/\ /__//_//_/\ /_______/\ /_____/\                 
# \ \ \ \ \\::: _  \ \\::\| \| \ \\::: _  \ \\:::_ \ \                
#  \:\_\ \ \\::(_)  \ \\:.      \ \\::(_)  \/_\:\ \ \ \               
#   \::::_\/ \:: __  \ \\:.\-/\  \ \\::  _  \ \\:\ \ \ \              
#     \::\ \  \:.\ \  \ \\. \  \  \ \\::(_)  \ \\:\_\ \ \             
#      \__\/   \__\/\__\/ \__\/ \__\/ \_______\/ \_____\/             
#                                                                     
#                                                                     
# Version 5.3.0 Revision 23935 Hash (prev commit) 901c81cc91          
#                      Branch is 5.3                                  
#         MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                      
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : PPA
# PPA imaginary Energy                            :   27.2113800    [ev]
# dS/dw steps                                     :  2
# dS/dw step                                      :  0.100000001    [ev]
# X G`s                                           :   773 [used]
# X G`s                                           :   773 [disk]
# X bands                                         :    1  120
# X poles                                         :   100.000000    [o/o]
# X e/h E range                                   :  -1.00000000     -1.00000000    [ev]
# X Hxc Kernel                                    : HARTREE
# X BZ energy Double Grid                         : no
# X Optical Averaged directions                   : none
# Sc/G bands                                      :    1  120
# Sc/G damping                                    :  0.100000001    [ev]
# Sc bands terminator                             : no
# Sx RL components                                :  27811
#                                                 
# QP @ state[ 1 ] K range                         :    1   32
# QP @ state[ 1 ] b range                         :   30   36
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#
#
#    Eo [eV]            DeltaE [eV]
#
    -1.13244498        0.242318004   
    -1.12312579        0.267511785   
    -1.10683239        0.261770576   
    -1.08500290        0.252238512   
    -1.02695096        0.195211634   
   -0.999136150        0.178656235   
   -0.978291154        0.898201689E-1
   -0.978170335        0.107214503   
   -0.973448873        0.687375814E-1
   -0.970034361        0.969002768E-1
   -0.969260693        0.828268379E-1
   -0.964597642        0.131656513   
   -0.962096632        0.145783469   
   -0.955447137        0.900967121E-1
   -0.944402635        0.100959554   
   -0.930314183        0.106911607   
   -0.905186951        0.127730235   
   -0.900348306        0.134971723   
   -0.893511951       -0.108785741   
   -0.885643542       -0.854239464E-1
   -0.877171457       -0.393642396   
   -0.870742500       -0.458234325E-1
   -0.865223110       -0.392031401   
   -0.862506390       -0.394398600   
   -0.860663891       -0.344573885   
   -0.856790721       -0.246451492E-2
   -0.853096008       -0.329296976   
   -0.849388659       -0.298664898   
   -0.843025863       -0.392210215   
   -0.838283360       -0.302917570   
   -0.836952567       -0.289673746   
   -0.832407951       -0.276743770   
   -0.781119823       -0.273436248   
   -0.766859472       -0.118387133   
   -0.765985668       -0.160714105   
   -0.765299559       -0.241125897   
   -0.762783945       -0.162307650   
   -0.762460768       -0.258216530   
   -0.761037946       -0.159770951   
   -0.760932148       -0.159018785   
   -0.753552794       -0.158719137   
   -0.746821404       -0.156298012   
   -0.740143895       -0.235607699   
   -0.737298667       -0.291789949   
   -0.737238646       -0.288215250   
   -0.734166324       -0.353368372   
   -0.732492089       -0.232476979   
   -0.731996596       -0.136023536   
   -0.718589783       -0.266567409   
   -0.708030224       -0.207024112   
   -0.705105901       -0.291292042   
   -0.703039169       -0.474182308   
   -0.702287793       -0.474197298   
   -0.701714039       -0.295323730   
   -0.700170755       -0.474236637   
   -0.698987961       -0.474355459   
   -0.692605734       -0.285703689   
   -0.678968549       -0.295480639   
   -0.583079576       -0.373132735   
   -0.577970505       -0.323708624   
   -0.577172935       -0.331029594   
   -0.575838089       -0.358238190   
   -0.574456990       -0.296764821   
   -0.555765510       -0.318184346   
   -0.551888704       -0.360687315   
   -0.549023986       -0.363577157   
   -0.546544909       -0.369752645   
   -0.544493973       -0.382261753   
   -0.541790605       -0.344571859   
   -0.535556376       -0.385726184   
   -0.534981787       -0.377380967   
   -0.533625841       -0.359117270   
   -0.287709206       -0.374615997   
   -0.277423352       -0.380981624   
   -0.277310222       -0.379893720   
